band_id,band,highest_pos,highest_pos_date,highest_song,danceSpeed,featuring_artist,highest_song_vid
1,NSYNC,1,2000-07-29,It's Gonna Be Me,pop,no,https://www.youtube.com/watch?v=GQMlWwIXg3M
2,112,4,2001-07-07,Peaches And Cream,pop,no,https://www.youtube.com/watch?v=wl2NCXzg1FQ
3,2gether,87,2000-09-09,The Hardest Part of Breaking Up,pop,no,https://www.youtube.com/watch?v=HJ89lMXLJGA
4,5 Seconds of Summer,16,2014-07-19,Amnesia,slow,no,https://www.youtube.com/watch?v=DCCJCILiX3o
5,5ive,10,1998-08-01,When The Lights Go Out,pop,no,https://www.youtube.com/watch?v=mpdcKmaHk_s
6,98 Degrees,2,2000-09-30,Give me Just One Night,pop,no,https://www.youtube.com/watch?v=PYb2IdrN-ns
7,All-4-One,1,1994-05-21,I Swear,slow,no,https://www.youtube.com/watch?v=25rL-ooWICU
8,Aventura,97,2005-12-17,Ella Y Yo,pop,yes,https://www.youtube.com/watch?v=EZodgl2JiDA
9,Az Yet,8,1997-05-03,Hard to Say I'm Sorry (ft. Peter Cetera),slow,yes,https://www.youtube.com/watch?v=qpzPrSRQwTw
10,B2K,1,2003-02-01,"Bump, Bump, Bump (ft. P. Diddy)",pop,yes,https://www.youtube.com/watch?v=CgiX53hjAPc
11,Backstreet Boys,2,1997-09-06,Quit Playing Games with my Heart,pop,no,https://www.youtube.com/watch?v=Ug88HO2mg44
12,BBMak,13,2000-07-29,Back Here,slow,no,https://www.youtube.com/watch?v=l95MMbls0GQ
13,Bell Biv DeVoe,3,1990-06-09,Poison,pop,no,https://www.youtube.com/watch?time_continue=27&v=sb2np1HGqxg
14,Big Time Rush,72,2011-05-07,Boyfriend (ft. Snoop Dogg),pop,yes,https://www.youtube.com/watch?v=jUOdO5dqPeU
15,Blackstreet,1,1996-11-09,No Diggity (ft. Dr. Dre),pop,yes,https://www.youtube.com/watch?v=3KL9mRus19o
16,Boyz II Men,1,1992-08-15,End of the Road,slow,no,https://www.youtube.com/watch?v=zDKO6XYXioc
17,Brother Beyond,27,1990-08-25,The Girl I Used to Know,pop,no,https://www.youtube.com/watch?v=pS-E_lPE668
18,BTS,67,2017-10-14,DNA,pop,no,https://www.youtube.com/watch?v=MBdVXkSdhwU
19,Color Me Badd,1,1991-09-21,I Adore Mi Amor,slow,no,https://www.youtube.com/watch?v=92NdfSeOLA0
20,Day26,79,2008-04-12,Got Me Going,pop,no,https://www.youtube.com/watch?v=jiQaSw2H_LA
21,Guys Next Door,42,1991-02-23,I've Been Waiting For You,slow,no,https://www.youtube.com/watch?v=bSArFJxfCeU
22,Hanson,1,1997-05-24,MMMBop,pop,no,https://www.youtube.com/watch?v=NHozn0YXAeE
23,Hi-Five,1,1991-05-18,I Like The Way,pop,no,https://www.youtube.com/watch?v=vF3MB0U6DO8
24,Ideal,13,1999-11-20,Get Gone,slow,no,https://www.youtube.com/watch?v=MPCsH6XiZ_I
25,Immature,5,1994-10-15,Never Lie,slow,no,https://www.youtube.com/watch?v=LV8PZ8kcCr8
26,IMx,23,2000-01-08,Stay The Night,pop,no,https://www.youtube.com/watch?v=t3s-Vp-Qv5Q
27,Jagged Edge,3,2001-09-15,Where The Party At,pop,yes,https://www.youtube.com/watch?v=9UCY_U4QwqI
28,Jodeci,4,1993-08-28,Lately,slow,no,https://www.youtube.com/watch?v=V2ddj5uKbpY
29,Jonas Brothers,5,2008-07-12,Burnin' Up,pop,no,https://www.youtube.com/watch?v=5KNEZJ6KkLI
30,LFO,3,1999-08-28,Summer Girls,pop,no,https://www.youtube.com/watch?v=NHuGG_FsC20
