boy_id,band_id,name,dob,hair_color,hair_frosted,hair_length,hair_style,eyes,facial_hair,accessories,top_style,bottom_style,height,instrument
1,50,Joey Zehr,05/10/1982,brown,no,medium,swept,blue,,tie,"suit jacket, long-sleeve button down",dress pants,72,drums
2,50,Ben Romans,02/10/1981,brown,yes,short,swept,blue,,"tie, bracelet","suit jacket, long-sleeve button down",dress pants,,keyboard
3,50,Ethan Mentzer,3/15/1982,brown,no,short,spiked,blue,,"tie, earrings","suit jacket, long-sleeve button down",dress pants,,bass
4,50,Eric Dill,02/10/1981,brown,no,medium,swept,blue,,tie,"suit jacket, long-sleeve button down",dress pants,,guitar
5,50,Joe Guese,1/14/1982,brown,no,medium,swept,brown,,tie,"suit jacket, long-sleeve button down",dress pants,,guitar
6,6,Maverick,,black,no,short,fade,brown,mustache,flat hat,long-sleeve t-shirt,dress pants,,
7,26,Marques Houston,08/04/1981,black,green,short,curly,brown,mustache,sunglasses,tank top,overalls,70,
8,26,Young Rome,10/25/1981,black,no,short,fade,brown,mustache,beanie hat,tank top,overalls,69,
9,26,Kelton Kessee,01/02/1981,black,yes,medium,curly,brown,mustache,eye patch,tank top,overalls,68,
10,38,Frank Pangelinan,,black,no,short,shaggy,brown,goatee,,long-sleeve button down,dress pants,,
11,38,Rico Luna,,black,no,short,fade,brown,"mustache, soul patch",,long-sleeve button down,dress pants,,
12,38,Anthony DaCosta,,black,no,medium,slick,brown,goatee,,short-sleeve button down,dress pants,,
13,38,Jacob Ceniceros,,black,no,medium,fade,brown,mustache,,long-sleeve button down,dress pants,,
14,30,Richard Burton Cronin,8/30/1974,brown,yes,short,spiked,blue,,necklace,long-sleeve t-shirt,cargo pants,75,
15,43,Garfield Bright,10/21/1969,black,no,short,curly,brown,mustache,earrings,long-sleeve button down,sweat pants,79,
16,43,Marc Gay,1/21/1969,black,no,medium,fade,brown,goatee,necklace,long-sleeve t-shirt,jeans,,
17,30,Devin Lima,3/18/1977,brown,no,short,spiked,green,five o'clock shadow,earrings,short-sleeve t-shirt,cargo pants,71,
18,30,Brad Fischetti,09/11/1975,brown,no,short,bangs,brown,five o'clock shadow,earrings,short-sleeve t-shirt,sweat pants,75,
19,17,Nathan Moore,01/10/1965,brown,no,short,slick,brown,,,"leather jacket, short-sleeve t-shirt",jeans,69,
20,17,David Ben White,06/06/1965,brown,no,short,crew,brown,,,"vest, hoodie",jeans,,guitar
21,17,Carl Fysh,1/25/1961,brown,no,short,crew,blue,,necklace,"leather jacket, short-sleeve t-shirt",jeans,,keyboard
22,17,Steve Alexander,11/20/1962,brown,no,short,shaggy,brown,,,"leather jacket, short-sleeve t-shirt",jeans,,drums
23,43,Carl Martin,8/29/1970,black,no,medium,fade,brown,mustache,,"suit jacket, short-sleeve t-shirt",dress pants,,
24,32,Craig Crippen,12/26/1996,brown,yes,medium,fade,brown,,"glasses, earrings, necklace","letterman jacket, t-shirt",dress pants,64,
25,32,Jacob Perez,4/21/1996,black,no,medium,afro,brown,,"glasses, earrings, necklace, 1 red glove","letterman jacket, t-shirt",dress pants,65,
26,7,Alfred Nevarez,5/17/1973,black,no,short,spiked,brown,mustache,,long-sleeve button down,jeans,,
27,32,Santo August,07/23/1997,black,no,long,ponytail,brown,,"earrings, baseball hat, headphones around neck","letterman jacket, t-shirt",dress pants,66,
28,32,Rayan Lopez,01/06/1996,black,no,long,pigtail braids,brown,,"earrings, red goggles, necklace","letterman jacket, t-shirt",dress pants,68,
29,19,Kevin Thornton,6/17/1969,black,no,long,braids,brown,mustache,earrings,tank top,jeans,,
30,19,Sam Watters,7/23/1970,brown,no,long,ponytail,blue,,earrings,sweatshirt,shorts,,
31,19,Bryan Abrams,11/16/1969,brown,no,short,crew,brown,"mustache, five o'clock shadow","earrings, necklace",long-sleeve button down,overalls,,
32,19,Mark Calderon,9/27/1970,brown,no,long,shaggy,hazel,five o'clock shadow,earrings,tank top,shorts,69,
33,22,Zac 22,10/22/1985,blonde,no,long,shaggy,brown,,,short-sleeve button down,jeans,70,drums
34,22,Taylor 22,3/14/1983,blonde,no,long,shaggy,blue,,,short-sleeve button down,jeans,73,keyboard
35,22,Isaac 22,11/17/1980,blonde,no,long,shaggy,brown,,,short-sleeve button down,dress pants,71,guitar
36,25,"Marques ""Batman"" Houston",08/04/1981,black,no,medium,ponytail,brown,,"glasses, earrings, necklace",sleeveless button-up with bare chest,jeans,70,
37,25,"Jerome ""Romeo"" Jones",10/25/1981,blonde,no,medium,curly,brown,,"eye patch, necklace",long-sleeve button down with bare chest,jeans,69,
38,25,"Kelton ""LDB"" Kessee",01/02/1981,black,no,medium,ponytail,brown,,"glasses, earrings, necklace",sleeveless button-up with bare chest,jeans,68,
39,14,James Maslow,7/16/1990,brown,no,long,swept,brown,,,"vest, long-sleeve t-shirt",dress pants,73,
40,14,Kendall Schmidt,11/21/1990,blonde,no,medium,swept,green,,,"vest, long-sleeve button down",dress pants,71,
41,14,Carlos PenaVega,8/15/1989,black,no,short,crew,brown,,,"vest, long-sleeve button down",dress pants,66,
42,14,Logan Henderson,9/14/1989,black,no,short,spiked,brown,,,"vest, long-sleeve button down",dress pants,69,
43,40,Harry Styles,02/01/1994,brown,no,medium,curly,green,,necklace,long-sleeve button down,jeans,72,
44,40,Zayn Malik,01/12/1993,black,no,medium,spiked,brown,,earrings,"other jacket, short-sleeve t-shirt",jeans,69,
45,40,Louis Tomlinson,12/24/1991,brown,no,short,curly,blue,,,"jean jacket, short-sleeve t-shirt",jeans,68,
